,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,InBandwidth
57,2018-08-04 06:30:00,-479915407.65572643,-96329468.52041183,-31811652.1267547,-3637.878350995859,1195.4938386394172,-132.97909442581542,160288974.64486757
58,2018-08-04 06:45:00,-455610126.7148772,-95962027.80453171,-32003242.346684817,-484.0853574203132,480.4158980188623,-117.53153202145458,185062545.34604377
59,2018-08-04 07:00:00,-429814399.72048366,-100500724.03269231,-29671826.53273439,-3477.4144179667906,1772.960917927001,-253.22393570731083,211129548.7061004
60,2018-08-04 07:15:00,-392144684.3069697,-95431590.4394841,-32282884.04291615,-1392.9347154396714,1684.9327042774419,-483.16383998668914,248987030.0941704
61,2018-08-04 07:30:00,-382039852.20830923,-95064327.03600448,-32472851.95776375,1395.361741750695,1237.6850154715635,-767.7041075597878,259967244.15024072
62,2018-08-04 07:45:00,-354410800.3611811,-94623204.20885935,-32702695.616496157,1237.5988726707005,1403.076932689567,-953.7660976234208,287419776.09520876
63,2018-08-04 08:00:00,-321094405.38093305,-99485237.41750842,-30205801.193826586,1418.924389703898,1829.245195996011,-906.9943548502957,321691619.08935106
64,2018-08-04 08:15:00,-283101155.96104056,-94415297.61151671,-32817308.010371592,4099.941345540577,1666.5948880737767,-1105.3932156026378,359888480.1841775
65,2018-08-04 08:30:00,-243192097.96469808,-93727254.16645436,-33175464.49783442,3316.5769541304926,2543.02946209499,-1259.2542976756608,399924604.87397
66,2018-08-04 08:45:00,-210483807.77046505,-93731256.54510151,-33176932.02691951,6339.827852218194,1976.0971208115523,-1406.8186443313207,433281176.87640864
67,2018-08-04 09:00:00,-168451951.70508084,-98148998.53155762,-30909472.101116393,4115.546318786804,3701.195895618463,-1656.1209513390552,476613488.20006114
68,2018-08-04 09:15:00,-137271478.47769856,-93045733.04742768,-33537381.868523706,10524.652879794397,1557.2868126628175,-2292.034077768503,507934143.9699144
69,2018-08-04 09:30:00,-95873140.13693774,-92550170.76727231,-33796708.16121572,9664.704531363104,2673.251058796475,-2951.1809981741167,549872719.7060671
70,2018-08-04 09:45:00,-27895218.53277355,-92023579.02369057,-34074858.3113724,9872.205850757373,3979.456062130426,-3503.3174177643386,618722572.9624187
71,2018-08-04 10:00:00,14688755.849340172,-104010978.0506364,-27914472.16449088,6032.909889826768,5552.722753472608,-3928.99690492154,662250533.1430192
72,2018-08-04 10:15:00,47902274.64824754,-91090143.25105694,-34563087.225427195,8875.501094092831,5835.211894791077,-4691.203641285759,695550242.3005838
73,2018-08-04 10:30:00,95073425.99508937,-99992420.45459566,-29989838.974685557,2116.1397620468438,8664.50929729986,-4486.001988233795,743182034.0856544
74,2018-08-04 10:45:00,134990067.85535783,-97523530.7031449,-31263864.11434785,3121.018083649195,9060.72400496763,-4583.118337091677,783651651.3171858
75,2018-08-04 11:00:00,148976245.40229896,-97881058.77149737,-31081500.14320994,2101.793381099998,9776.033851585482,-4766.814689897625,797603135.5423398
76,2018-08-04 11:15:00,168128204.215682,-98115040.34913594,-30963230.057793282,5725.61214173485,9158.952234054197,-4660.649514139332,818234740.4919213
77,2018-08-04 11:30:00,182683117.31546053,-90955455.88355678,-34646887.57721705,13350.54791307477,7575.525852612872,-4673.949760532694,834352507.7975148
78,2018-08-04 11:45:00,202998565.28043947,-98672048.95166105,-30680526.82316287,6671.723522814784,9002.664238246349,-4371.451469146887,853244988.9812374
