,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,InBandwidth
19,2018-08-02 12:30:00,207643392.24783805,-116198479.79871665,-21454265.64370461,77127.70696075384,859697158.7995857
20,2018-08-02 13:30:00,381829162.52526283,-116669866.1580092,-21230618.944388732,79755.91963786949,1033782052.034564
21,2018-08-02 13:45:00,211029001.73250276,-109449051.48479362,-24925789.423723675,59266.79401597241,861424081.3474141
22,2018-08-02 15:30:00,382648238.9202835,-115439136.72324224,-21866842.87161944,65775.60928396482,1039090649.2142793
23,2018-08-02 15:45:00,337935215.35141945,-116979259.41741802,-21069956.623577163,59088.66386277287,991332465.8792404
24,2018-08-02 16:00:00,310969898.53152376,-120522601.22309749,-19244747.776578777,63821.233284739756,964067802.1492027
25,2018-08-02 16:15:00,277935049.70037484,-114849942.3027909,-22158567.087043982,65819.04230018421,930679191.0541207
26,2018-08-02 16:30:00,288103120.0348031,-92740324.65772709,-33530380.454630602,70031.09598898188,939363198.2996098
27,2018-08-02 16:45:00,311478682.5475486,-129012960.690167,-14878315.40012621,48575.642088142995,963876720.3584332
28,2018-08-02 17:00:00,307177063.6925392,-112875497.82361495,-23177159.597442325,50920.86144658053,959280048.2215598
29,2018-08-02 17:15:00,303049317.8109734,-99605035.01415208,-30001559.87055741,48061.37420662248,956205704.4563422
30,2018-08-02 17:30:00,272868946.1667361,-107462568.95731147,-25957270.921710823,38450.843308245414,925199985.3717977
31,2018-08-02 17:45:00,270580218.4777185,-86948509.91088162,-36507163.52334885,43515.70806347429,922223067.8369813
32,2018-08-02 18:00:00,279419704.9933549,-96801520.5969908,-31440830.064522136,38555.152946308124,930489336.3031119
33,2018-08-04 00:00:00,10418069.196473898,-96391443.84467614,-31829467.467699908,9674.677760326094,656357076.9376068
34,2018-08-04 00:15:00,-61526237.527348064,-92033159.29180616,-34063125.35277028,7238.807798515314,583831789.3703567
35,2018-08-04 00:30:00,-132957096.18942387,-93011046.74574842,-33552509.47134289,-396.7110164468548,511495988.7798055
36,2018-08-04 00:45:00,-195581665.78184712,-93393500.51908475,-33349066.140475336,-3519.786590982762,448166886.11900276
37,2018-08-04 01:00:00,-268051522.08878332,-99188250.28779155,-30361080.282949276,-6185.486777997044,375079608.09977895
38,2018-08-04 01:15:00,-314947259.15038294,-94606559.80523197,-32712332.71066196,-4326.90394846978,327988600.98181915
