,CreationTime,principal component 1,principal component 2,principal component 3,InBandwidth
51,2018-08-04 05:00:00,-567338888.8124162,-101713765.20245533,-29033144.16559728,72404300.06486662
52,2018-08-04 05:15:00,-561586582.8904693,-96678903.5111183,-31623134.275091026,78152042.62092836
53,2018-08-04 05:30:00,-555530025.8830566,-96608472.45458457,-31660009.167485453,84492065.68160433
54,2018-08-04 05:45:00,-546183129.5286356,-96524810.15531027,-31704043.879958026,93851098.50680052
55,2018-08-04 06:00:00,-524933725.0701822,-101452131.20623648,-29172272.47264777,115189142.32308435
56,2018-08-04 06:15:00,-506138199.8871195,-96455190.43212166,-31744166.657829456,134006773.22558579
57,2018-08-04 06:30:00,-479915407.6557266,-96329468.52041186,-31811652.126754683,160288974.64486757
58,2018-08-04 06:45:00,-455610126.7148772,-95962027.80453171,-32003242.346684802,185062545.34604377
59,2018-08-04 07:00:00,-429814399.72048354,-100500724.03269228,-29671826.532734364,211129548.7061004
60,2018-08-04 07:15:00,-392144684.30696976,-95431590.43948409,-32282884.04291613,248987030.0941704
61,2018-08-04 07:30:00,-382039852.2083094,-95064327.03600448,-32472851.95776372,259967244.15024072
62,2018-08-04 07:45:00,-354410800.3611812,-94623204.20885934,-32702695.61649614,287419776.09520876
63,2018-08-04 08:00:00,-321094405.380933,-99485237.41750844,-30205801.19382657,321691619.08935106
64,2018-08-04 08:15:00,-283101155.9610406,-94415297.61151671,-32817308.010371577,359888480.1841775
65,2018-08-04 08:30:00,-243192097.9646982,-93727254.16645434,-33175464.497834396,399924604.87397
66,2018-08-04 08:45:00,-210483807.77046514,-93731256.54510151,-33176932.026919477,433281176.87640864
67,2018-08-04 09:00:00,-168451951.70508075,-98148998.53155763,-30909472.101116367,476613488.20006114
68,2018-08-04 09:15:00,-137271478.4776987,-93045733.04742767,-33537381.86852368,507934143.9699144
69,2018-08-04 09:30:00,-95873140.13693783,-92550170.76727228,-33796708.161215685,549872719.7060671
70,2018-08-04 09:45:00,-27895218.532773368,-92023579.02369057,-34074858.31137237,618722572.9624187
71,2018-08-04 10:00:00,14688755.849340187,-104010978.0506364,-27914472.16449086,662250533.1430192
72,2018-08-04 10:15:00,47902274.64824778,-91090143.25105695,-34563087.22542717,695550242.3005838
73,2018-08-04 10:30:00,95073425.99508929,-99992420.45459563,-29989838.974685535,743182034.0856544
74,2018-08-04 10:45:00,134990067.8553579,-97523530.70314488,-31263864.114347816,783651651.3171858
75,2018-08-04 11:00:00,148976245.40229875,-97881058.77149737,-31081500.143209916,797603135.5423398
76,2018-08-04 11:15:00,168128204.21568197,-98115040.3491359,-30963230.057793245,818234740.4919213
77,2018-08-04 11:30:00,182683117.31546056,-90955455.88355677,-34646887.57721703,834352507.7975148
78,2018-08-04 11:45:00,202998565.28043938,-98672048.95166107,-30680526.823162846,853244988.9812374
79,2018-08-04 12:00:00,215917503.36167893,-110984910.83949174,-24349560.261180617,867633262.7260706
80,2018-08-04 12:15:00,232270061.20679143,-98453209.36073907,-30796229.502514888,883490840.8107142
81,2018-08-04 12:30:00,268007141.69145954,-112806955.93073836,-23418121.73659638,919947393.2962273
82,2018-08-04 12:45:00,265891366.47088367,-98273835.14251839,-30892103.89907045,918391054.4012797
83,2018-08-04 13:00:00,279202923.1372063,-103432224.07101966,-28240641.24128493,933144321.4424556
84,2018-08-04 13:15:00,263504553.12156138,-93988692.82755609,-33095645.61200387,917030305.9264381
85,2018-08-04 13:30:00,254324190.24440908,-123314737.9592525,-18012619.63291598,907844054.0625316
86,2018-08-04 13:45:00,252330419.71304148,-100843047.08741339,-29569328.513816074,905097636.7844207
87,2018-08-04 14:00:00,253595296.55578172,-106036490.68408403,-26898538.013419107,907289220.2068127
88,2018-08-04 14:15:00,242717224.42920265,-101058168.18239482,-29457657.630317986,895903157.4534492
89,2018-08-04 14:30:00,277090414.57727784,-108055567.18276235,-25862683.181724485,930475102.8995867
90,2018-08-04 14:45:00,273356963.25717163,-106359504.08154792,-26734544.263893563,926927818.3168449
91,2018-08-04 15:00:00,270602464.3485497,-103841013.96193217,-28029478.073337525,924003704.93461
92,2018-08-04 15:15:00,291472073.5787568,-98914361.91156012,-30565448.726579223,945275771.6984012
93,2018-08-04 15:30:00,276244352.1087664,-98932191.1646718,-30554637.579239346,929795407.7069854
94,2018-08-04 15:45:00,244809338.1844457,-106508051.44178948,-26715501.19678234,897184753.3943951
