,CreationTime,principal component 1,InBandwidth
63,2018-08-04 08:00:00,-321094405.3809332,321691619.08935106
64,2018-08-04 08:15:00,-283101155.96104074,359888480.1841775
65,2018-08-04 08:30:00,-243192097.96469826,399924604.87397
66,2018-08-04 08:45:00,-210483807.77046522,433281176.87640864
67,2018-08-04 09:00:00,-168451951.70508108,476613488.20006114
68,2018-08-04 09:15:00,-137271478.4776988,507934143.9699144
69,2018-08-04 09:30:00,-95873140.13693795,549872719.7060671
70,2018-08-04 09:45:00,-27895218.532773722,618722572.9624187
71,2018-08-04 10:00:00,14688755.8493399,662250533.1430192
72,2018-08-04 10:15:00,47902274.64824734,695550242.3005838
73,2018-08-04 10:30:00,95073425.99508911,743182034.0856544
74,2018-08-04 10:45:00,134990067.85535756,783651651.3171858
75,2018-08-04 11:00:00,148976245.4022987,797603135.5423398
76,2018-08-04 11:15:00,168128204.21568176,818234740.4919213
77,2018-08-04 11:30:00,182683117.31546032,834352507.7975148
78,2018-08-04 11:45:00,202998565.28043917,853244988.9812374
79,2018-08-04 12:00:00,215917503.36167878,867633262.7260706
80,2018-08-04 12:15:00,232270061.2067912,883490840.8107142
81,2018-08-04 12:30:00,268007141.69145924,919947393.2962273
82,2018-08-04 12:45:00,265891366.4708835,918391054.4012797
83,2018-08-04 13:00:00,279202923.13720596,933144321.4424556
84,2018-08-04 13:15:00,263504553.12156135,917030305.9264381
85,2018-08-04 13:30:00,254324190.24440894,907844054.0625316
86,2018-08-04 13:45:00,252330419.7130413,905097636.7844207
87,2018-08-04 14:00:00,253595296.55578175,907289220.2068127
88,2018-08-04 14:15:00,242717224.4292025,895903157.4534492
89,2018-08-04 14:30:00,277090414.5772777,930475102.8995867
90,2018-08-04 14:45:00,273356963.25717145,926927818.3168449
91,2018-08-04 15:00:00,270602464.34854954,924003704.93461
92,2018-08-04 15:15:00,291472073.5787568,945275771.6984012
93,2018-08-04 15:30:00,276244352.10876614,929795407.7069854
94,2018-08-04 15:45:00,244809338.18444544,897184753.3943951
95,2018-08-04 16:00:00,195421232.47129178,846940437.0720942
96,2018-08-04 16:15:00,170782635.9046587,822365010.9370401
97,2018-08-04 16:30:00,133695637.5353373,784247855.4449319
98,2018-08-04 16:45:00,116762817.26173519,766027857.8448514
99,2018-08-04 17:00:00,87026060.676005,735258322.4469825
100,2018-08-04 17:15:00,32521546.680982165,680021933.3177375
101,2018-08-04 17:30:00,-16063345.160389975,631001452.3304819
102,2018-08-04 17:45:00,-51663799.69020672,596381806.2180856
103,2018-08-04 18:00:00,-49546203.202610485,597808261.9854394
104,2018-08-04 18:15:00,-30844446.477473266,616813010.2327317
105,2018-08-04 18:30:00,-13966227.18680379,633968192.1801709
106,2018-08-04 18:45:00,-41277552.74826571,605801732.5942851
107,2018-08-04 21:30:00,376642184.1614728,1029067611.3903039
108,2018-08-04 21:45:00,371472460.9964362,1024637424.2743367
109,2018-08-04 22:00:00,380296491.84579855,1032936543.1248063
110,2018-08-04 22:15:00,357618643.6489923,1009516833.719424
111,2018-08-04 22:30:00,328275184.3724,979547731.98191
112,2018-08-04 22:45:00,291824422.04717433,943183906.8564352
113,2018-08-04 23:00:00,251061666.74650285,900829188.0464427
114,2018-08-04 23:15:00,200645477.71728408,849852859.852041
115,2018-08-04 23:30:00,114579980.3061392,762703026.1079651
116,2018-08-04 23:45:00,33819891.788095675,681157371.8246807
117,2018-08-05 00:00:00,-230944345.503057,494407916.64120996
118,2018-08-05 00:30:00,-12397951.315454517,803673419.4493607
119,2018-08-05 01:00:00,-333292202.09471047,309068843.95421433
120,2018-08-05 01:15:00,-397715048.41138333,233345969.89428097
121,2018-08-05 01:30:00,-436317807.7110414,196856105.70521477
122,2018-08-05 01:45:00,-466506995.0974483,168205484.66181296
123,2018-08-05 02:00:00,-489486776.54434544,145035070.734005
124,2018-08-05 02:15:00,-505314761.6469407,129671048.62957652
125,2018-08-05 02:30:00,-522139798.2468168,112582425.11069249
126,2018-08-05 03:00:00,-547606647.7669574,89228539.94999142
127,2018-08-05 03:15:00,-557802553.8557738,79061794.59474382
128,2018-08-05 03:30:00,-582959422.2048532,65886541.42220851
129,2018-08-05 03:45:00,-584913449.4702129,58711687.11958793
130,2018-08-05 04:00:00,-573542322.7550802,64286661.42457414
131,2018-08-05 04:15:00,-573162856.4019753,64844912.94278096
132,2018-08-05 04:45:00,-604264033.7288069,33417206.09697164
133,2018-08-05 05:00:00,-585826575.3575538,51917659.87526981
134,2018-08-05 05:15:00,-576202788.4345148,61084755.07865237
135,2018-08-05 05:30:00,-567989184.8616507,69008184.02242276
136,2018-08-05 05:45:00,-552479773.7821422,83970015.76313898
137,2018-08-05 06:00:00,-535793607.4023715,101099044.56227066
138,2018-08-05 06:15:00,-512351923.1036475,124499084.50786744
139,2018-08-05 06:30:00,-529110153.51578075,143182512.75670838
140,2018-08-05 06:45:00,-507601019.5776066,168997676.65189004
141,2018-08-05 07:00:00,-425943757.5144352,209753893.4314438
142,2018-08-05 07:15:00,-389639705.88695604,244975177.80030385
143,2018-08-05 07:30:00,-361219152.8291114,271534636.335483
144,2018-08-05 07:45:00,-334835990.51910377,295376242.5023397
145,2018-08-05 08:00:00,-397896601.8869652,307257311.8720552
146,2018-08-05 08:15:00,-381350802.43116677,327937205.3054108
147,2018-08-05 08:30:00,-220053890.17430085,406498266.7090832
148,2018-08-05 08:45:00,-178141579.82785076,444055786.1683582
149,2018-08-05 09:00:00,-122348174.86170658,497679514.0256789
150,2018-08-05 09:15:00,-58695587.33817863,559299737.1161737
151,2018-08-05 09:30:00,-9069524.655582223,601121924.1021755
152,2018-08-05 09:45:00,74320067.0329147,681141833.3055812
153,2018-08-05 11:30:00,381657617.73940593,965974278.6698852
154,2018-08-05 11:45:00,420936767.24825805,1003129356.7228572
155,2018-08-05 12:00:00,431877580.4385189,1007699614.6249207
156,2018-08-05 12:15:00,448203091.8276847,1023224429.1521002
157,2018-08-05 12:30:00,459645599.8255047,1036282675.5186447
158,2018-08-05 12:45:00,480992465.7477931,1053715464.402282
159,2018-08-05 13:00:00,499537624.3661609,1074110169.731496
160,2018-08-05 13:45:00,511162780.1492033,1165617073.5880814
161,2018-08-05 14:00:00,491899142.2391534,1065717098.7348127
162,2018-08-05 14:15:00,493941024.57835495,1063699355.9693087
163,2018-08-05 14:30:00,512461775.8196666,1084266632.1191657
164,2018-08-05 14:45:00,522168712.86842,1089469149.7309608
165,2018-08-05 15:00:00,531276076.0070957,1100763619.4171689
166,2018-08-05 15:45:00,184185904.7130996,967506119.867457
167,2018-08-05 16:00:00,463284875.11816597,1035408622.2760402
168,2018-08-05 16:15:00,430809500.9279728,1010542345.9152926
169,2018-08-05 16:30:00,342921624.103297,930110310.1220797
170,2018-08-05 16:45:00,294896967.9734635,886810775.8271338
171,2018-08-05 17:00:00,211252113.21180195,808218929.1582407
172,2018-08-05 18:15:00,-292247454.3728897,336627916.8060958
173,2018-08-05 18:30:00,-318915198.1135528,309744156.78566235
174,2018-08-05 18:45:00,-327949598.08128214,301016911.20595044
175,2018-08-05 19:00:00,-313347755.68732834,315944281.63875294
176,2018-08-05 20:30:00,5510113.145626466,651915188.0454321
177,2018-08-05 20:45:00,-50671483.205962054,595019860.7524962
178,2018-08-05 21:00:00,-42013516.18771702,604035769.4652275
179,2018-08-05 22:15:00,171037590.08851314,819509160.8643341
180,2018-08-05 22:30:00,176662013.0523955,825823138.4684727
181,2018-08-05 22:45:00,151565993.77732712,800011499.0559093
182,2018-08-05 23:00:00,-46992051.951874144,599571840.7283367
183,2018-08-05 23:45:00,-109288314.97122347,535569896.09903616
184,2018-08-06 00:00:00,-89774334.55583476,510940683.7579179
185,2018-08-06 00:15:00,-162180035.58958024,445370744.2304751
186,2018-08-06 00:30:00,-286973150.3526481,329511061.26059234
187,2018-08-06 00:45:00,-348983128.18572086,271826856.0050116
188,2018-08-06 01:00:00,-396450413.06682926,227513075.2757304
189,2018-08-06 01:15:00,-445615526.1891728,181142099.8979781
190,2018-08-06 01:30:00,-484419034.2288237,144937278.93743765
191,2018-08-06 01:45:00,-507095120.2923503,123272767.19244829
192,2018-08-06 03:15:00,-576507384.654614,58752441.4232542
193,2018-08-06 03:30:00,-583963190.2706969,52074354.27541344
194,2018-08-06 03:45:00,-582854276.9283425,53681575.77668536
195,2018-08-06 04:00:00,-581908704.574718,53670764.65356524
196,2018-08-06 04:15:00,-582054094.9804995,53759365.69499695
197,2018-08-06 04:30:00,-564360816.3859339,69679864.92706501
198,2018-08-06 04:45:00,-535858507.96194136,96994978.6017473
199,2018-08-06 05:00:00,-537860916.3105835,95122123.5682927
200,2018-08-06 05:15:00,-533281473.51154774,99271948.53245254
201,2018-08-06 05:30:00,-525799152.69123966,104907503.88309838
202,2018-08-06 05:45:00,-513131541.80190676,116938243.72269176
203,2018-08-06 06:45:00,-500375931.8098368,131538570.87872083
204,2018-08-06 07:15:00,-476487077.1990911,152407807.59486127
205,2018-08-06 07:30:00,-471222625.4403989,157350189.63991398
206,2018-08-06 07:45:00,-456506930.8591214,168899625.63211212
207,2018-08-06 08:00:00,-430971746.0925025,194634961.0539269
208,2018-08-06 08:15:00,-403709873.987296,219671234.34114268
209,2018-08-06 08:30:00,-375474008.6511584,245735488.8393736
210,2018-08-06 08:45:00,-357110216.9661377,263523460.2360537
211,2018-08-06 09:00:00,-316737486.31495357,302005783.2417074
212,2018-08-06 09:15:00,-260265151.2525472,354024080.4887107
213,2018-08-06 09:30:00,-209649492.70292404,399309503.6519384
214,2018-08-06 09:45:00,-146083024.05841735,459744375.0935
215,2018-08-06 10:45:00,94679708.13538478,687266133.6471974
216,2018-08-06 11:00:00,112002579.30164401,701801961.3481537
217,2018-08-06 11:15:00,139433505.36635822,725772640.189312
218,2018-08-06 11:30:00,152292888.41810748,742016332.1513441
219,2018-08-06 11:45:00,182012881.11179367,768552549.8000576
220,2018-08-06 12:00:00,215520763.9592466,796912356.7907588
221,2018-08-06 12:15:00,219286039.47235116,799726603.980563
222,2018-08-06 12:30:00,236132860.2724232,812746051.2429006
223,2018-08-06 12:45:00,221656071.2344802,803578205.8756348
224,2018-08-06 13:00:00,228103846.55211842,808436229.0562083
225,2018-08-06 13:15:00,211425294.30971417,793727595.6666057
226,2018-08-06 13:30:00,204790987.7460565,785657953.6803893
227,2018-08-06 13:45:00,206537619.73093408,789880161.9889416
228,2018-08-06 15:15:00,352767749.904642,925223079.0889244
229,2018-08-06 15:30:00,388473282.08978665,957955674.8958392
230,2018-08-06 15:45:00,383333176.8143678,955894405.8031082
231,2018-08-06 16:00:00,354008605.33609676,930698134.0267627
232,2018-08-06 16:15:00,323415054.4848073,899255129.4645295
233,2018-08-06 16:30:00,327819252.6972006,981785721.5068717
234,2018-08-06 16:45:00,305168034.3888434,958540613.3263812
235,2018-08-06 17:00:00,291399462.6321996,945510051.8248855
236,2018-08-06 17:15:00,252924921.72407934,904978553.207942
237,2018-08-06 17:30:00,243128440.20865268,894956743.8237901
238,2018-08-06 17:45:00,245322692.39187357,897679400.0829989
239,2018-08-06 19:30:00,199601887.28107703,849839853.4155847
240,2018-08-06 19:45:00,345174191.8455672,998545936.9001539
241,2018-08-06 21:30:00,15006948.566468762,784516008.9369987
242,2018-08-06 21:45:00,285922902.37930125,865455556.8934131
243,2018-08-06 22:00:00,272577510.2025499,853638231.0583675
244,2018-08-06 22:15:00,294236104.3962847,873020553.5108086
245,2018-08-06 22:30:00,299260046.0545781,874030948.3968867
246,2018-08-06 22:45:00,290286806.5865756,864877847.9160331
247,2018-08-06 23:00:00,238879924.82860246,813515962.1303687
248,2018-08-06 23:15:00,-73347484.56568678,653019326.5996282
249,2018-08-06 23:30:00,-118638437.13231787,588958439.6274937
250,2018-08-06 23:45:00,-14974115.182521876,580166973.100114
251,2018-08-07 00:30:00,-265496938.24873993,420451463.6272903
252,2018-08-07 00:45:00,-180145402.970871,424661527.5980916
253,2018-08-07 01:00:00,-249896070.1430628,358440535.0092935
254,2018-08-07 01:15:00,-300474235.68738353,313387036.80249816
255,2018-08-07 01:30:00,-346377332.9241458,269407243.7269347
256,2018-08-07 01:45:00,-385409446.70862323,235252985.47738785
257,2018-08-07 02:00:00,-420300305.5367176,201848539.50952828
258,2018-08-07 02:15:00,-438404843.3289352,184295680.60557565
259,2018-08-07 02:30:00,-458771592.22389215,166538091.21967116
260,2018-08-07 02:45:00,-480904458.3122802,147168771.07716367
261,2018-08-07 03:00:00,-493789044.6363398,136505775.29323602
262,2018-08-07 03:15:00,-514233165.729177,119916143.71178348
263,2018-08-07 03:30:00,-533279996.75585777,101393408.35006955
264,2018-08-07 03:45:00,-562770372.5859071,81992739.42335217
265,2018-08-07 04:45:00,-572432236.6583425,64509428.62500864
266,2018-08-07 05:00:00,-572687757.5284606,64440450.12383721
267,2018-08-07 05:15:00,-566909828.6467779,70356553.28684391
268,2018-08-07 06:15:00,-512626799.97938293,120960301.44215544
269,2018-08-07 06:30:00,-493182715.5796218,138016070.76306918
270,2018-08-07 07:15:00,-416368920.5936056,208470502.68834317
271,2018-08-07 07:30:00,-387632774.3604908,236625280.85591397
272,2018-08-07 08:45:00,-212374445.58847758,399118883.1906412
273,2018-08-07 09:00:00,-184456056.53726834,424827753.5514567
274,2018-08-07 09:15:00,-142461984.91568792,463636751.20545214
275,2018-08-07 09:30:00,-100815294.0527471,502285348.0635015
276,2018-08-07 09:45:00,-58412930.9161793,540595004.3534383
277,2018-08-07 10:30:00,55866078.09338049,645913011.4946284
278,2018-08-07 10:45:00,89832194.14033173,681256878.3516228
279,2018-08-07 11:00:00,119438026.3489704,705201594.8762299
280,2018-08-07 11:15:00,147228379.80564758,730313822.9390641
281,2018-08-07 11:30:00,171175619.887004,755588719.1962392
282,2018-08-08 14:00:00,256094826.38209325,827657874.0589049
283,2018-08-08 14:15:00,259112412.54525277,832836554.8413237
284,2018-08-08 14:30:00,292692881.4786628,864060400.330703
285,2018-08-08 14:45:00,37234850.94836434,778759319.1020104
286,2018-08-08 15:00:00,54113972.70078085,874760758.2636088
287,2018-08-08 15:15:00,67406376.23209378,802181115.4657031
288,2018-08-08 15:30:00,348279655.2355572,918368214.410825
289,2018-08-08 15:45:00,342701023.91120934,910029445.4423764
290,2018-08-08 16:00:00,335327422.9952658,904351582.9375664
291,2018-08-08 16:15:00,336933594.4978,909455206.0685724
292,2018-08-08 16:30:00,328015964.43738306,902320285.5824764
293,2018-08-08 16:45:00,333841708.93009734,906545231.9998164
294,2018-08-08 17:00:00,46572163.7988314,774674953.6839807
295,2018-08-08 17:15:00,5872489.451650651,738901246.6340308
296,2018-08-08 17:30:00,294103627.6186088,871417491.751307
297,2018-08-08 17:45:00,288970561.4501143,864097360.5738559
298,2018-08-08 18:00:00,281944982.4754107,860009691.0895697
299,2018-08-08 18:15:00,282459681.59562165,861159576.9753077
300,2018-08-08 18:30:00,278724933.620738,859363322.6182038
301,2018-08-08 18:45:00,247299826.26009503,829679713.5993963
302,2018-08-08 19:00:00,-42757841.25782527,690962576.4367577
303,2018-08-08 19:15:00,-76240996.75847608,653534592.4955156
304,2018-08-08 19:30:00,259940278.02983466,839991074.0641067
305,2018-08-08 19:45:00,308434361.91771156,886753276.2189091
306,2018-08-08 20:00:00,358236485.14308846,934045165.4088148
307,2018-08-08 20:15:00,378585192.26316214,954077453.6805832
308,2018-08-08 20:30:00,405529461.2708292,978953915.6225916
309,2018-08-08 20:45:00,102732378.28699109,872768884.9152244
310,2018-08-08 21:00:00,132977692.1041886,895770318.8958168
311,2018-08-08 21:15:00,457167508.20393914,1020861440.9516613
312,2018-08-08 21:30:00,468761047.9528358,1035835025.4936695
313,2018-08-08 21:45:00,478370440.3724512,1047235693.0317707
314,2018-08-08 22:00:00,495817844.4812301,1059582384.4433095
315,2018-08-08 22:15:00,486478697.0671032,1048357458.4610033
316,2018-08-08 22:30:00,475157434.29387486,1037391723.8291095
317,2018-08-08 22:45:00,432643221.46624935,1001774929.0513672
318,2018-08-08 23:00:00,67907850.14478429,812987490.4465946
319,2018-08-08 23:15:00,8266995.74889263,737298542.814349
320,2018-08-08 23:30:00,171948023.89296576,757158325.7229582
321,2018-08-08 23:45:00,75440853.46936256,667257457.3259852
322,2018-08-09 00:15:00,-95877102.55247909,545930533.0651326
323,2018-08-09 00:30:00,-183434887.7121703,457970181.53474104
324,2018-08-09 00:45:00,-248858182.47747242,392411683.222162
325,2018-08-09 01:00:00,-322287243.16541725,318556140.6319135
326,2018-08-09 01:15:00,-371047380.7950169,269476162.11733866
327,2018-08-09 01:30:00,-414227091.7409669,225906782.6657203
328,2018-08-09 02:15:00,-495037398.1770638,144899233.1366557
329,2018-08-09 02:30:00,-511272934.0335772,128399150.7266001
330,2018-08-09 02:45:00,-527380007.6805307,112514759.65518476
331,2018-08-09 03:00:00,-537717577.0285143,102074435.57201985
332,2018-08-09 03:15:00,-542463293.5224824,97166746.28476782
333,2018-08-09 03:30:00,-551745911.15653,87870007.00061709
334,2018-08-09 04:45:00,-569553556.7674445,69879980.33802012
335,2018-08-09 05:00:00,-572676301.3647972,66672341.00269561
336,2018-08-09 05:45:00,-531102111.2690984,108447953.92662829
337,2018-08-09 06:00:00,-505134436.4563621,134357935.92649645
338,2018-08-09 06:15:00,-472881624.67490715,166635631.46686232
339,2018-08-09 07:00:00,-373945742.71018773,266770638.66806498
340,2018-08-09 07:15:00,-342629808.0282839,297883445.02805763
341,2018-08-09 08:15:00,-186436062.4228582,453890545.51246506
342,2018-08-09 08:30:00,-148239616.1101167,492081231.46511286
343,2018-08-09 08:45:00,-103617296.5954619,536847357.13408446
344,2018-08-09 09:00:00,-47655523.28580823,593404016.0755283
