,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,InBandwidth
12,2018-08-02 10:15:00,115248556.87049079,-92463033.8586897,-33651171.23224838,60920.53614076032,-14166.75582177933,-3037.955943809573,762376497.4459728
13,2018-08-02 10:30:00,147399109.91265744,-108848017.48413627,-25228031.07252047,63762.38374929142,-16203.644808930792,-2712.4351213593022,794781159.0188048
14,2018-08-02 10:45:00,153391382.67502975,-98867492.58077389,-30361540.843012195,74559.33601616815,-19094.698480976283,-2888.185570627894,802044621.2936982
15,2018-08-02 11:00:00,171983010.82857382,-96602668.96910603,-31528316.628798284,78442.61379014775,-19235.076055069534,-3075.715844392555,822675180.3587673
16,2018-08-02 11:15:00,175928189.22013476,-84469122.70470747,-37768881.89310903,82332.83490987158,-20307.422428135495,-3392.7670970990303,825496911.6120068
17,2018-08-02 11:30:00,192572453.4036911,-91611319.3280873,-34097527.298300974,85286.74536349284,-20258.82008876257,-3060.1295681493216,845372251.5925786
18,2018-08-02 11:45:00,204772495.2937632,-84598457.94300014,-37705476.851357505,81986.31491574613,-18697.493069360855,-3337.967799687099,856131012.5219313
19,2018-08-02 12:30:00,207643392.2478381,-116198479.79871671,-21454265.64370458,77127.70696075371,-17788.532923132694,-3059.1930666673807,859697158.7995857
20,2018-08-02 13:30:00,381829162.52526313,-116669866.15800919,-21230618.944388684,79755.91963786943,-18091.634855357323,-1192.3739841318875,1033782052.034564
21,2018-08-02 13:45:00,211029001.73250288,-109449051.48479362,-24925789.42372363,59266.79401597236,-11930.924485158788,-3458.770911214042,861424081.3474141
22,2018-08-02 15:30:00,382648238.9202838,-115439136.72324225,-21866842.871619392,65775.60928396501,-10941.269398852284,-2038.9865921934233,1039090649.2142793
23,2018-08-02 15:45:00,337935215.35141975,-116979259.41741806,-21069956.623577137,59088.66386277297,-9701.601116688771,-2556.440332506737,991332465.8792404
24,2018-08-02 16:00:00,310969898.53152394,-120522601.22309753,-19244747.776578743,63821.2332847398,-12252.822150741886,-2600.0916728527486,964067802.1492027
25,2018-08-02 16:15:00,277935049.7003752,-114849942.30279088,-22158567.087043945,65819.04230018429,-13636.051580426567,-2826.5767936492216,930679191.0541207
26,2018-08-02 16:30:00,288103120.0348032,-92740324.65772709,-33530380.45463055,70031.09598898194,-13662.862261243003,-2863.4323829572145,939363198.2996098
27,2018-08-02 16:45:00,311478682.5475487,-129012960.69016702,-14878315.400126195,48575.642088143075,-7235.171127097984,-1962.8061036215304,963876720.3584332
28,2018-08-02 17:00:00,307177063.6925392,-112875497.82361501,-23177159.597442277,50920.86144658051,-7324.7480401434095,-1920.874229620668,959280048.2215598
29,2018-08-02 17:15:00,303049317.81097376,-99605035.0141521,-30001559.870557353,48061.374206622524,-4523.146109555621,-1269.6484374810038,956205704.4563422
30,2018-08-02 17:30:00,272868946.1667363,-107462568.9573115,-25957270.921710774,38450.84330824552,-1955.887207883021,-988.4664497901709,925199985.3717977
31,2018-08-02 17:45:00,270580218.4777184,-86948509.91088162,-36507163.52334881,43515.70806347402,-2946.2493190017376,-1084.77672931669,922223067.8369813
32,2018-08-02 18:00:00,279419704.9933553,-96801520.5969908,-31440830.064522076,38555.152946308066,-1728.8582499036834,-390.7106971668463,930489336.3031119
33,2018-08-04 00:00:00,10418069.196473898,-96391443.84467617,-31829467.467699863,9674.677760326005,3890.6372294707962,3806.164541731547,656357076.9376068
34,2018-08-04 00:15:00,-61526237.5273481,-92033159.29180622,-34063125.352770224,7238.807798515307,4218.995942160199,3475.0393657894274,583831789.3703567
35,2018-08-04 00:30:00,-132957096.18942401,-93011046.74574848,-33552509.471342824,-396.71101644693334,5965.211086177955,2968.1854535614843,511495988.7798055
36,2018-08-04 00:45:00,-195581665.78184736,-93393500.51908486,-33349066.14047528,-3519.7865909828856,6243.205481226089,2585.0849347243725,448166886.11900276
37,2018-08-04 01:00:00,-268051522.08878347,-99188250.28779164,-30361080.282949228,-6185.486777997098,5675.974713536288,2127.010873114961,375079608.09977895
38,2018-08-04 01:15:00,-314947259.15038306,-94606559.80523205,-32712332.710661907,-4326.903948469679,4921.70768257635,1695.3125905215259,327988600.98181915
39,2018-08-04 01:30:00,-365190384.080748,-95073860.06404886,-32466587.21693446,-2795.1204307480466,3413.106058932537,1340.1460386173937,277490562.7949104
40,2018-08-04 01:45:00,-405606336.83519965,-95436178.28720696,-32275893.394315526,-3885.8369703036055,2834.204240756396,992.808516801115,235782680.34317845
41,2018-08-04 02:00:00,-430015332.25312907,-100517537.3731079,-29659978.964381028,-7568.8235972821385,3643.6354364349104,920.9308089105932,211283593.98545995
42,2018-08-04 02:15:00,-454272209.56776965,-95803966.16671294,-32081496.491098434,-3564.8958298007456,1943.5980938626813,654.4575514929891,186818854.59262213
43,2018-08-04 02:30:00,-482837948.6127629,-96161903.6734363,-31894332.76559221,-2737.1682135594274,952.475721775291,420.1596946249728,157956183.43744123
44,2018-08-04 02:45:00,-500657948.2029841,-96256622.03871307,-31843698.569574323,-2498.950592788365,826.7411262551523,303.0164951352883,140053660.9194083
45,2018-08-04 03:15:00,-534975989.81064165,-96588650.79225808,-31669239.823238544,-3544.657558818894,535.1190722197754,63.97802304148909,105233178.32681122
46,2018-08-04 03:45:00,-555370131.9876817,-96760213.09579259,-31578807.716068406,-2278.9205171681892,-225.0940776783338,-72.49937529882807,84677598.08606644
47,2018-08-04 04:00:00,-558346615.1659956,-101737850.52624664,-29018547.13669342,-5688.726966043176,687.9116782844901,-17.76588448639185,81583969.544661
48,2018-08-04 04:15:00,-562398728.6307421,-96767668.86901376,-31574215.87642927,-3635.575118369814,74.06188695184788,-147.1093880041794,77349450.81341767
49,2018-08-04 04:30:00,-563959438.5682253,-96725061.8033393,-31599140.115278292,-2703.870176932094,-259.5864114193354,-160.1877414491115,75776078.9514466
50,2018-08-04 04:45:00,-565053761.9604899,-96712697.5757919,-31605380.60265347,-1914.127889008553,-540.7888692617014,-140.41620838290473,74848964.11375539
51,2018-08-04 05:00:00,-567338888.8124164,-101713765.20245539,-29033144.165597275,-3905.326792499627,-279.60373465064896,-108.60617318488411,72404300.06486662
52,2018-08-04 05:15:00,-561586582.8904696,-96678903.51111834,-31623134.27509102,-1679.088774781269,-689.1359357419452,-134.53061291229375,78152042.62092836
53,2018-08-04 05:30:00,-555530025.8830571,-96608472.45458458,-31660009.167485442,-1454.2056736701622,-546.8025717142873,-110.37359156308558,84492065.68160433
54,2018-08-04 05:45:00,-546183129.528636,-96524810.15531033,-31704043.879958015,-2178.725544552991,-81.82939049368572,-126.62199495736436,93851098.50680052
55,2018-08-04 06:00:00,-524933725.0701827,-101452131.20623654,-29172272.47264776,-4827.228498519925,727.9792767334225,44.23010452403778,115189142.32308435
56,2018-08-04 06:15:00,-506138199.88712,-96455190.43212171,-31744166.657829445,-2282.9542372287274,371.8598802978147,-69.05856353853679,134006773.22558579
57,2018-08-04 06:30:00,-479915407.6557269,-96329468.52041186,-31811652.126754675,-3637.878350995957,1195.4938386395147,-132.97909441899787,160288974.64486757
58,2018-08-04 06:45:00,-455610126.7148777,-95962027.80453175,-32003242.34668479,-484.08535742027175,480.4158980188107,-117.5315320226453,185062545.34604377
59,2018-08-04 07:00:00,-429814399.72048414,-100500724.03269234,-29671826.53273437,-3477.4144179667505,1772.9609179266165,-253.2239357190404,211129548.7061004
60,2018-08-04 07:15:00,-392144684.30696994,-95431590.43948412,-32282884.04291612,-1392.9347154396066,1684.9327042770065,-483.1638400059575,248987030.0941704
61,2018-08-04 07:30:00,-382039852.2083094,-95064327.03600448,-32472851.957763713,1395.3617417507442,1237.6850154710944,-767.7041075824902,259967244.15024072
62,2018-08-04 07:45:00,-354410800.36118126,-94623204.20885938,-32702695.616496127,1237.598872670905,1403.0769326891877,-953.7660976378944,287419776.09520876
63,2018-08-04 08:00:00,-321094405.3809337,-99485237.41750848,-30205801.193826564,1418.9243897038605,1829.2451959959383,-906.9943548519403,321691619.08935106
64,2018-08-04 08:15:00,-283101155.9610406,-94415297.61151674,-32817308.010371566,4099.941345540616,1666.5948880733256,-1105.3932156221,359888480.1841775
65,2018-08-04 08:30:00,-243192097.9646984,-93727254.1664544,-33175464.49783441,3316.5769541305935,2543.029462095465,-1259.2542976528464,399924604.87397
66,2018-08-04 08:45:00,-210483807.77046514,-93731256.54510154,-33176932.02691948,6339.827852218298,1976.0971208116391,-1406.8186443289665,433281176.87640864
67,2018-08-04 09:00:00,-168451951.7050813,-98148998.53155766,-30909472.101116367,4115.546318786858,3701.195895618307,-1656.1209513438698,476613488.20006114
68,2018-08-04 09:15:00,-137271478.47769865,-93045733.0474277,-33537381.868523672,10524.65287979454,1557.2868126624885,-2292.0340777799897,507934143.9699144
69,2018-08-04 09:30:00,-95873140.13693777,-92550170.76727231,-33796708.161215685,9664.704531363222,2673.251058796061,-2951.1809981905044,549872719.7060671
70,2018-08-04 09:45:00,-27895218.53277406,-92023579.0236906,-34074858.31137236,9872.205850757442,3979.4560621302394,-3503.3174177678075,618722572.9624187
