,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,InBandwidth
28,2018-08-02 17:00:00,307177063.6925393,-112875497.8236148,-23177159.5974423,50920.861446580624,-7324.748040144453,959280048.2215598
29,2018-08-02 17:15:00,303049317.8109737,-99605035.01415193,-30001559.870557394,48061.37420662238,-4523.146109554869,956205704.4563422
30,2018-08-02 17:30:00,272868946.1667363,-107462568.9573113,-25957270.921710808,38450.84330824548,-1955.8872078822346,925199985.3717977
31,2018-08-02 17:45:00,270580218.47771853,-86948509.91088146,-36507163.52334884,43515.70806347415,-2946.2493190033206,922223067.8369813
32,2018-08-02 18:00:00,279419704.99335515,-96801520.59699067,-31440830.064522132,38555.152946308,-1728.8582499024849,930489336.3031119
33,2018-08-04 00:00:00,10418069.196473986,-96391443.844676,-31829467.467699897,9674.67776032605,3890.6372294711146,656357076.9376068
34,2018-08-04 00:15:00,-61526237.52734799,-92033159.29180606,-34063125.35277027,7238.807798515305,4218.995942160844,583831789.3703567
35,2018-08-04 00:30:00,-132957096.18942377,-93011046.74574831,-33552509.471342877,-396.71101644692584,5965.211086178193,511495988.7798055
36,2018-08-04 00:45:00,-195581665.78184712,-93393500.51908466,-33349066.140475325,-3519.786590982915,6243.205481225935,448166886.11900276
37,2018-08-04 01:00:00,-268051522.08878332,-99188250.28779145,-30361080.282949265,-6185.486777997093,5675.974713536943,375079608.09977895
38,2018-08-04 01:15:00,-314947259.1503829,-94606559.80523184,-32712332.710661955,-4326.903948469748,4921.707682577581,327988600.98181915
39,2018-08-04 01:30:00,-365190384.0807478,-95073860.06404865,-32466587.216934506,-2795.120430747929,3413.1060589321473,277490562.7949104
40,2018-08-04 01:45:00,-405606336.83519936,-95436178.28720678,-32275893.394315567,-3885.8369703035196,2834.2042407559816,235782680.34317845
41,2018-08-04 02:00:00,-430015332.25312877,-100517537.37310767,-29659978.964381065,-7568.823597282113,3643.635436434199,211283593.98545995
42,2018-08-04 02:15:00,-454272209.5677695,-95803966.16671273,-32081496.49109848,-3564.8958298006305,1943.5980938627583,186818854.59262213
43,2018-08-04 02:30:00,-482837948.61276287,-96161903.67343605,-31894332.765592244,-2737.1682135593232,952.4757217748598,157956183.43744123
44,2018-08-04 02:45:00,-500657948.2029838,-96256622.03871289,-31843698.569574386,-2498.9505927885702,826.7411262558469,140053660.9194083
45,2018-08-04 03:15:00,-534975989.8106415,-96588650.79225788,-31669239.82323859,-3544.6575588188416,535.1190722196518,105233178.32681122
46,2018-08-04 03:45:00,-555370131.9876814,-96760213.09579238,-31578807.716068443,-2278.9205171681606,-225.09407767860455,84677598.08606644
47,2018-08-04 04:00:00,-558346615.1659951,-101737850.52624638,-29018547.136693466,-5688.726966043545,687.9116782850475,81583969.544661
48,2018-08-04 04:15:00,-562398728.6307418,-96767668.86901355,-31574215.876429316,-3635.5751183698044,74.06188695195668,77349450.81341767
49,2018-08-04 04:30:00,-563959438.568225,-96725061.80333906,-31599140.11527833,-2703.870176931968,-259.58641141944724,75776078.9514466
50,2018-08-04 04:45:00,-565053761.9604897,-96712697.57579167,-31605380.60265351,-1914.1278890084411,-540.7888692619088,74848964.11375539
51,2018-08-04 05:00:00,-567338888.8124162,-101713765.20245512,-29033144.165597316,-3905.3267924997676,-279.60373464994177,72404300.06486662
52,2018-08-04 05:15:00,-561586582.8904693,-96678903.51111811,-31623134.27509107,-1679.0887747812533,-689.1359357409892,78152042.62092836
53,2018-08-04 05:30:00,-555530025.8830569,-96608472.45458439,-31660009.167485487,-1454.205673670127,-546.802571714814,84492065.68160433
54,2018-08-04 05:45:00,-546183129.5286356,-96524810.15531011,-31704043.87995806,-2178.7255445531437,-81.82939049329921,93851098.50680052
55,2018-08-04 06:00:00,-524933725.0701825,-101452131.2062363,-29172272.4726478,-4827.2284985198785,727.9792767332486,115189142.32308435
56,2018-08-04 06:15:00,-506138199.88711995,-96455190.43212147,-31744166.657829486,-2282.9542372286187,371.8598802978614,134006773.22558579
57,2018-08-04 06:30:00,-479915407.6557267,-96329468.52041167,-31811652.12675472,-3637.8783509957966,1195.4938386395681,160288974.64486757
58,2018-08-04 06:45:00,-455610126.7148776,-95962027.8045315,-32003242.34668482,-484.0853574202478,480.41589801806623,185062545.34604377
59,2018-08-04 07:00:00,-429814399.72048396,-100500724.03269212,-29671826.5327344,-3477.4144179668183,1772.9609179262998,211129548.7061004
60,2018-08-04 07:15:00,-392144684.3069698,-95431590.43948393,-32282884.04291617,-1392.9347154395564,1684.932704277036,248987030.0941704
61,2018-08-04 07:30:00,-382039852.2083093,-95064327.03600428,-32472851.95776376,1395.3617417506423,1237.6850154720478,259967244.15024072
62,2018-08-04 07:45:00,-354410800.36118114,-94623204.20885918,-32702695.61649618,1237.598872670787,1403.076932690223,287419776.09520876
63,2018-08-04 08:00:00,-321094405.3809333,-99485237.41750823,-30205801.193826593,1418.9243897038084,1829.2451959947925,321691619.08935106
64,2018-08-04 08:15:00,-283101155.9610406,-94415297.61151654,-32817308.01037161,4099.9413455405775,1666.5948880740568,359888480.1841775
65,2018-08-04 08:30:00,-243192097.96469828,-93727254.16645421,-33175464.497834455,3316.5769541305576,2543.029462095483,399924604.87397
66,2018-08-04 08:45:00,-210483807.77046517,-93731256.54510134,-33176932.02691953,6339.827852218233,1976.0971208126355,433281176.87640864
67,2018-08-04 09:00:00,-168451951.70508114,-98148998.53155743,-30909472.101116396,4115.546318786819,3701.1958956173617,476613488.20006114
68,2018-08-04 09:15:00,-137271478.4776986,-93045733.04742752,-33537381.868523713,10524.65287979442,1557.2868126631881,507934143.9699144
69,2018-08-04 09:30:00,-95873140.13693784,-92550170.7672721,-33796708.16121574,9664.704531363206,2673.25105879655,549872719.7060671
70,2018-08-04 09:45:00,-27895218.532774,-92023579.02369037,-34074858.31137239,9872.205850757591,3979.456062128127,618722572.9624187
71,2018-08-04 10:00:00,14688755.849340051,-104010978.05063617,-27914472.164490882,6032.909889826872,5552.722753471619,662250533.1430192
72,2018-08-04 10:15:00,47902274.64824709,-91090143.25105673,-34563087.225427195,8875.501094093037,5835.211894788124,695550242.3005838
73,2018-08-04 10:30:00,95073425.99508922,-99992420.45459546,-29989838.97468557,2116.1397620468706,8664.509297298388,743182034.0856544
74,2018-08-04 10:45:00,134990067.8553575,-97523530.70314471,-31263864.114347845,3121.018083649309,9060.724004965688,783651651.3171858
75,2018-08-04 11:00:00,148976245.40229896,-97881058.7714972,-31081500.143209964,2101.7933811001008,9776.033851584803,797603135.5423398
76,2018-08-04 11:15:00,168128204.21568197,-98115040.34913571,-30963230.057793282,5725.612141734925,9158.952234053519,818234740.4919213
77,2018-08-04 11:30:00,182683117.31546038,-90955455.88355657,-34646887.57721704,13350.547913074895,7575.525852610596,834352507.7975148
78,2018-08-04 11:45:00,202998565.28043935,-98672048.95166087,-30680526.823162876,6671.723522814911,9002.664238245772,853244988.9812374
79,2018-08-04 12:00:00,215917503.3616791,-110984910.83949156,-24349560.261180647,2439.5490632432516,10645.928113040194,867633262.7260706
80,2018-08-04 12:15:00,232270061.20679125,-98453209.36073889,-30796229.50251491,7757.97831509109,9126.12998742427,883490840.8107142
