,CreationTime,principal component 1,principal component 2,principal component 3,InBandwidth
62,2018-08-04 07:45:00,-354410800.3611814,-94623204.20885913,-32702695.616496157,287419776.09520876
63,2018-08-04 08:00:00,-321094405.380933,-99485237.41750818,-30205801.193826575,321691619.08935106
64,2018-08-04 08:15:00,-283101155.96104085,-94415297.6115165,-32817308.01037159,359888480.1841775
65,2018-08-04 08:30:00,-243192097.96469802,-93727254.16645414,-33175464.497834414,399924604.87397
66,2018-08-04 08:45:00,-210483807.77046517,-93731256.54510131,-33176932.026919495,433281176.87640864
67,2018-08-04 09:00:00,-168451951.70508075,-98148998.53155741,-30909472.101116385,476613488.20006114
68,2018-08-04 09:15:00,-137271478.47769868,-93045733.04742745,-33537381.868523687,507934143.9699144
69,2018-08-04 09:30:00,-95873140.13693775,-92550170.76727207,-33796708.16121571,549872719.7060671
70,2018-08-04 09:45:00,-27895218.53277313,-92023579.02369033,-34074858.31137238,618722572.9624187
71,2018-08-04 10:00:00,14688755.849340184,-104010978.05063611,-27914472.16449087,662250533.1430192
72,2018-08-04 10:15:00,47902274.64824798,-91090143.2510567,-34563087.225427195,695550242.3005838
73,2018-08-04 10:30:00,95073425.99508958,-99992420.4545954,-29989838.974685553,743182034.0856544
74,2018-08-04 10:45:00,134990067.85535824,-97523530.70314467,-31263864.11434783,783651651.3171858
75,2018-08-04 11:00:00,148976245.40229908,-97881058.77149716,-31081500.14320993,797603135.5423398
76,2018-08-04 11:15:00,168128204.21568215,-98115040.34913571,-30963230.057793267,818234740.4919213
77,2018-08-04 11:30:00,182683117.3154608,-90955455.88355654,-34646887.577217035,834352507.7975148
78,2018-08-04 11:45:00,202998565.28043976,-98672048.95166087,-30680526.823162857,853244988.9812374
79,2018-08-04 12:00:00,215917503.3616793,-110984910.83949144,-24349560.261180628,867633262.7260706
80,2018-08-04 12:15:00,232270061.20679176,-98453209.36073886,-30796229.502514903,883490840.8107142
81,2018-08-04 12:30:00,268007141.6914599,-112806955.93073812,-23418121.736596398,919947393.2962273
82,2018-08-04 12:45:00,265891366.470884,-98273835.14251816,-30892103.899070445,918391054.4012797
83,2018-08-04 13:00:00,279202923.13720673,-103432224.07101941,-28240641.241284937,933144321.4424556
84,2018-08-04 13:15:00,263504553.12156168,-93988692.82755587,-33095645.612003874,917030305.9264381
85,2018-08-04 13:30:00,254324190.24440947,-123314737.9592523,-18012619.632915992,907844054.0625316
86,2018-08-04 13:45:00,252330419.7130416,-100843047.08741319,-29569328.513816077,905097636.7844207
87,2018-08-04 14:00:00,253595296.55578208,-106036490.68408382,-26898538.01341913,907289220.2068127
88,2018-08-04 14:15:00,242717224.42920312,-101058168.18239458,-29457657.630318005,895903157.4534492
