CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-08-02 01:45:00,0.25,0.2990180406485499,0.2222222222222222,0.25,0.5534905939355338,0.11365036465888993,0.4,0.4,0.23959218351741707,0.15257604726990814,0.14727246462721758,0.11492820027934827,0.16233462043232133
2018-08-02 02:00:00,0.125,0.2943594427951587,0.7777777777777778,0.25,0.5774208957939992,0.10319747222829435,0.3,0.4,0.2497875955819883,0.12780033696278015,0.12330439096501222,0.09762171232876402,0.1379379290921067
2018-08-02 02:15:00,0.75,0.29262388673213063,0.2222222222222222,0.25,0.555879074634335,0.11260706265773733,0.3,0.3,0.22939677145284662,0.11000042802633653,0.106221463364423,0.08523605466681763,0.12035743325440411
2018-08-02 02:30:00,0.375,0.2890614295501256,0.3333333333333333,0.25,0.5564932553854552,0.11233878500029809,0.2,0.3,0.21920135938827537,0.09532940716666842,0.09218409481747826,0.0749115510075319,0.1057353852253993
2018-08-02 02:45:00,0.25,0.2883306691025348,0.3333333333333333,0.25,0.5583585450740429,0.11152401581844558,0.5,0.4,0.23959218351741707,0.0839078123439471,0.08118479440929607,0.06701878423225308,0.09443206338168593
2018-08-02 03:00:00,0.5,0.28481388444850425,0.3333333333333333,0.25,0.580901253383681,0.10167723216947198,0.3,0.4,0.23959218351741707,0.07780734135794894,0.07535357594190772,0.06254130359619967,0.08816805331214694
2018-08-02 03:15:00,0.125,0.2827586206896552,0.2222222222222222,0.25,0.5588134937785765,0.11132529162774984,0.3,0.5,0.22939677145284662,0.07068867971934868,0.06834958100843312,0.057634324531459606,0.08121598108972337
2018-08-02 03:30:00,0.625,0.28170815254624343,0.1111111111111111,0.25,0.5586997566024431,0.11137497267542378,0.5,0.4,0.22939677145284662,0.0638445131818117,0.061716345388313235,0.053141252993252494,0.07482983912943103
2018-08-02 03:45:00,0.0,0.28138844485042247,0.0,0.25,0.5586997566024431,0.11137497267542378,0.4,0.4,0.23959218351741707,0.06019759208263694,0.05809839382700853,0.05041189215616977,0.0708119612515823
2018-08-02 04:00:00,0.375,0.2793331810915734,0.3333333333333333,0.20833333333333334,0.5810604854302678,0.10160767870272848,0.2,0.4,0.21920135938827537,0.05646258791746076,0.054287244118868,0.047860641324622685,0.06706881355242968
2018-08-02 08:45:00,0.25,0.5360127883078328,0.6666666666666666,0.5,0.5448010736789427,0.11728701734862185,0.4,0.4,0.3007646559048429,0.3305097788926491,0.3188937220848415,0.2360750014360678,0.33362079791101684
