,CreationTime,principal component 1,InBandwidth
3172,2018-09-20 03:00:00,-526321467.2875042,105583132.79578418
3173,2018-09-20 03:15:00,-536296626.32600707,97122893.66833603
3174,2018-09-20 03:30:00,-543640539.268327,90857220.6704272
3175,2018-09-20 03:45:00,-548996424.1271889,85330087.3925702
3176,2018-09-20 04:00:00,-549494672.580687,85734281.61096948
3177,2018-09-20 04:15:00,-543241069.1006674,92556750.70547733
3178,2018-09-20 04:30:00,-542080062.4532682,92681637.35622507
3179,2018-09-20 04:45:00,-531555461.9374118,102232809.16914669
3180,2018-09-20 05:00:00,-502504014.34597355,128679608.16929069
3181,2018-09-20 05:15:00,-528507221.2585345,119678094.48754528
3182,2018-09-20 05:30:00,-522314287.3084758,127996448.55853765
3183,2018-09-20 05:45:00,-465949879.42847353,163248892.58872533
3184,2018-09-20 06:00:00,-445974184.38244575,180133200.12505716
3185,2018-09-20 06:15:00,-419157172.0521746,205481083.51017573
3186,2018-09-20 06:30:00,-410465377.89421314,212265809.23265132
3187,2018-09-20 06:45:00,-392161666.0906667,230038654.70863685
3188,2018-09-20 07:00:00,-365133564.3073402,254495780.87298352
3189,2018-09-20 07:15:00,-344823481.79212296,273313092.79533964
3190,2018-09-20 07:30:00,-410230639.7563952,262008988.2209292
3191,2018-09-20 07:45:00,-382631549.9470995,295341576.42609817
3192,2018-09-20 08:00:00,-232666348.13789904,373390245.9464653
3193,2018-09-20 08:15:00,-199760354.5268829,404125346.1156777
3194,2018-09-20 08:30:00,-153287464.8184402,448788248.696428
3195,2018-09-20 08:45:00,-100027323.38093428,497571046.49386466
3196,2018-09-20 09:00:00,-231771739.16323915,469637601.8338068
3197,2018-09-20 09:15:00,-183498760.54966316,533469419.41470873
3198,2018-09-20 09:30:00,84261526.2761223,669091835.9271665
3199,2018-09-20 09:45:00,153035476.68441355,732413238.909242
3200,2018-09-20 10:00:00,239230246.3011439,812703503.8512398
3201,2018-09-20 10:15:00,287764426.91833276,855577847.1361244
3202,2018-09-20 10:30:00,332772938.6571653,897779109.417349
3203,2018-09-20 10:45:00,376430897.0149871,942455382.1033562
3204,2018-09-20 11:00:00,432015896.34724796,991434428.982058
3205,2018-09-20 11:15:00,115408087.00311856,862659483.7463491
3206,2018-09-20 11:30:00,132171940.66797502,880522903.9217186
3207,2018-09-20 11:45:00,492431505.2007855,1044800787.4192793
3208,2018-09-20 12:00:00,492535772.14387465,1046165558.6853119
3209,2018-09-20 12:15:00,519609699.17782277,1066318544.2822566
3210,2018-09-20 12:30:00,554726060.7159064,1102675553.3248334
3211,2018-09-20 12:45:00,571698358.8183656,1118217687.6461754
3212,2018-09-20 13:00:00,568492109.652266,1114150701.420454
3213,2018-09-20 13:15:00,198031741.11954674,960790245.4376985
3214,2018-09-20 13:30:00,200587518.99548998,961699755.0992887
3215,2018-09-20 13:45:00,570109418.7162181,1113870756.481119
3216,2018-09-20 14:00:00,594036227.777188,1136396374.2751458
3217,2018-09-20 14:15:00,621901557.678866,1159594974.2815273
3218,2018-09-20 14:30:00,645270670.3152604,1180314765.7310946
3219,2018-09-20 14:45:00,671402999.4756938,1206783973.3120232
3220,2018-09-20 15:00:00,674928695.1243517,1209438097.3151786
3221,2018-09-20 15:15:00,268478284.49892706,1050753211.921286
3222,2018-09-20 15:30:00,264620235.09319788,1033416522.1984148
3223,2018-09-20 15:45:00,607853181.6494328,1150970579.8381705
3224,2018-09-20 16:00:00,541766256.4497861,1085451019.780051
3225,2018-09-20 16:15:00,515367190.42150754,1060766130.60131
3226,2018-09-20 16:30:00,481475558.12992823,1029016405.605
3227,2018-09-20 16:45:00,442703874.56529564,996421445.9356503
3228,2018-09-20 17:00:00,412441613.4024419,967923730.0076836
3229,2018-09-20 17:15:00,62762547.45898192,799713802.6422727
