,CreationTime,principal component 1,principal component 2,InBandwidth
46,2018-08-04 03:45:00,-555370131.9876809,-96760213.09579246,84677598.08606644
47,2018-08-04 04:00:00,-558346615.1659948,-101737850.52624649,81583969.544661
48,2018-08-04 04:15:00,-562398728.6307412,-96767668.86901364,77349450.81341767
49,2018-08-04 04:30:00,-563959438.5682244,-96725061.80333914,75776078.9514466
50,2018-08-04 04:45:00,-565053761.960489,-96712697.57579173,74848964.11375539
51,2018-08-04 05:00:00,-567338888.8124158,-101713765.20245522,72404300.06486662
52,2018-08-04 05:15:00,-561586582.8904688,-96678903.51111817,78152042.62092836
53,2018-08-04 05:30:00,-555530025.8830564,-96608472.45458445,84492065.68160433
54,2018-08-04 05:45:00,-546183129.528635,-96524810.15531018,93851098.50680052
55,2018-08-04 06:00:00,-524933725.07018185,-101452131.20623639,115189142.32308435
56,2018-08-04 06:15:00,-506138199.88711923,-96455190.43212156,134006773.22558579
57,2018-08-04 06:30:00,-479915407.6557262,-96329468.52041173,160288974.64486757
58,2018-08-04 06:45:00,-455610126.714877,-95962027.80453159,185062545.34604377
59,2018-08-04 07:00:00,-429814399.7204836,-100500724.03269221,211129548.7061004
60,2018-08-04 07:15:00,-392144684.30696934,-95431590.439484,248987030.0941704
61,2018-08-04 07:30:00,-382039852.208309,-95064327.03600438,259967244.15024072
62,2018-08-04 07:45:00,-354410800.3611808,-94623204.20885925,287419776.09520876
63,2018-08-04 08:00:00,-321094405.38093305,-99485237.4175083,321691619.08935106
64,2018-08-04 08:15:00,-283101155.9610403,-94415297.61151664,359888480.1841775
65,2018-08-04 08:30:00,-243192097.96469805,-93727254.16645427,399924604.87397
66,2018-08-04 08:45:00,-210483807.77046496,-93731256.54510142,433281176.87640864
67,2018-08-04 09:00:00,-168451951.70508087,-98148998.53155752,476613488.20006114
68,2018-08-04 09:15:00,-137271478.47769853,-93045733.04742762,507934143.9699144
69,2018-08-04 09:30:00,-95873140.13693778,-92550170.76727222,549872719.7060671
70,2018-08-04 09:45:00,-27895218.532773856,-92023579.02369046,618722572.9624187
71,2018-08-04 10:00:00,14688755.849340016,-104010978.0506363,662250533.1430192
72,2018-08-04 10:15:00,47902274.648247175,-91090143.25105684,695550242.3005838
73,2018-08-04 10:30:00,95073425.99508908,-99992420.45459557,743182034.0856544
74,2018-08-04 10:45:00,134990067.85535744,-97523530.70314482,783651651.3171858
75,2018-08-04 11:00:00,148976245.4022987,-97881058.77149731,797603135.5423398
