,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,InBandwidth
32,2018-08-02 18:00:00,279419704.9933551,-96801520.5969908,-31440830.06452213,38555.152946308015,930489336.3031119
33,2018-08-04 00:00:00,10418069.196474118,-96391443.84467618,-31829467.46769991,9674.677760325978,656357076.9376068
34,2018-08-04 00:15:00,-61526237.52734816,-92033159.2918062,-34063125.35277027,7238.807798515268,583831789.3703567
35,2018-08-04 00:30:00,-132957096.18942398,-93011046.74574846,-33552509.47134288,-396.7110164469461,511495988.7798055
36,2018-08-04 00:45:00,-195581665.78184712,-93393500.5190848,-33349066.140475336,-3519.7865909828915,448166886.11900276
37,2018-08-04 01:00:00,-268051522.08878362,-99188250.28779161,-30361080.28294928,-6185.486777997141,375079608.09977895
38,2018-08-04 01:15:00,-314947259.1503832,-94606559.80523202,-32712332.710661966,-4326.903948469738,327988600.98181915
39,2018-08-04 01:30:00,-365190384.0807478,-95073860.06404884,-32466587.216934513,-2795.1204307479984,277490562.7949104
40,2018-08-04 01:45:00,-405606336.83519924,-95436178.28720695,-32275893.39431559,-3885.8369703036346,235782680.34317845
41,2018-08-04 02:00:00,-430015332.25312877,-100517537.37310788,-29659978.964381076,-7568.823597282084,211283593.98545995
42,2018-08-04 02:15:00,-454272209.56776965,-95803966.1667129,-32081496.491098486,-3564.8958298006282,186818854.59262213
43,2018-08-04 02:30:00,-482837948.6127626,-96161903.67343625,-31894332.76559226,-2737.168213559484,157956183.43744123
44,2018-08-04 02:45:00,-500657948.2029841,-96256622.03871307,-31843698.56957438,-2498.950592788519,140053660.9194083
45,2018-08-04 03:15:00,-534975989.81064147,-96588650.79225805,-31669239.823238604,-3544.6575588190067,105233178.32681122
46,2018-08-04 03:45:00,-555370131.9876813,-96760213.09579255,-31578807.716068447,-2278.920517168209,84677598.08606644
47,2018-08-04 04:00:00,-558346615.1659955,-101737850.52624662,-29018547.13669347,-5688.726966043174,81583969.544661
48,2018-08-04 04:15:00,-562398728.630742,-96767668.86901376,-31574215.876429334,-3635.5751183697726,77349450.81341767
49,2018-08-04 04:30:00,-563959438.568225,-96725061.80333924,-31599140.115278333,-2703.8701769320705,75776078.9514466
50,2018-08-04 04:45:00,-565053761.9604896,-96712697.57579187,-31605380.60265352,-1914.1278890086066,74848964.11375539
51,2018-08-04 05:00:00,-567338888.8124166,-101713765.20245534,-29033144.165597316,-3905.3267924996503,72404300.06486662
52,2018-08-04 05:15:00,-561586582.8904698,-96678903.5111183,-31623134.275091078,-1679.08877478114,78152042.62092836
53,2018-08-04 05:30:00,-555530025.8830568,-96608472.4545846,-31660009.1674855,-1454.2056736702302,84492065.68160433
54,2018-08-04 05:45:00,-546183129.5286359,-96524810.1553103,-31704043.87995807,-2178.725544553133,93851098.50680052
55,2018-08-04 06:00:00,-524933725.0701825,-101452131.20623651,-29172272.472647812,-4827.228498519915,115189142.32308435
56,2018-08-04 06:15:00,-506138199.8871198,-96455190.43212168,-31744166.657829497,-2282.9542372287574,134006773.22558579
57,2018-08-04 06:30:00,-479915407.65572673,-96329468.52041183,-31811652.12675472,-3637.878350995859,160288974.64486757
58,2018-08-04 06:45:00,-455610126.71487737,-95962027.8045317,-32003242.346684832,-484.0853574203025,185062545.34604377
